French,IPA,English,Example (FR),Example (EN),Tags
La salle de bain,la sal də bɛ̃,bathroom,La salle de bain est propre.,The bathroom is clean.,Travel
La carte,la kaʁt,map; menu,Avez-vous une carte ?,Do you have a map/menu?,Travel
Le menu,lə məny,menu,Je prends le menu du jour.,I’ll have the daily menu.,Food
L’addition,ladisjɔ̃,bill (restaurant),"L’addition, s’il vous plaît.","The bill, please.",Food
Le prix,lə pʁi,price,Quel est le prix ?,What’s the price?,Shopping
La facture,la faktyʁ,invoice; bill,Voici la facture.,Here is the invoice.,Shopping
Un billet,œ̃ bijɛ,ticket,"Un billet pour Lyon, s’il vous plaît.","A ticket to Lyon, please.",Travel
Un café,œ̃ kafe,a coffee,Je prends un café.,I’ll have a coffee.,Food
De l’eau,də lo,water,Je bois de l’eau.,I drink water.,Food
À gauche,a ɡoʃ,to the left,Tournez à gauche.,Turn left.,Direction
À droite,a dʁwat,to the right,Tournez à droite.,Turn right.,Direction
Tout droit,tu dʁwa,straight ahead,Allez tout droit.,Go straight ahead.,Direction
Ici,isi,here,C’est ici.,It is here.,Direction
Là-bas,laba,over there,C’est là-bas.,It’s over there.,Direction
Près,pʁɛ,near,C’est près d’ici.,It’s near here.,Direction
Loin,lwɛ̃,far,C’est loin ?,Is it far?,Direction
Aujourd’hui,oʒuʁdɥi,today,C’est pour aujourd’hui.,It’s for today.,Time
Demain,dəmɛ̃,tomorrow,À demain !,See you tomorrow!,Time
Hier,ijɛʁ,yesterday,C’était hier.,It was yesterday.,Time
Maintenant,mɛ̃tnɑ̃,now,Je pars maintenant.,I’m leaving now.,Time
Bientôt,bjɛ̃to,soon,J’arrive bientôt.,I’ll arrive soon.,Time
Combien,kɔ̃bjɛ̃,how much/many,Ça coûte combien ?,How much is it?,Question
Pourquoi,puʁkwa,why,Pourquoi pas ?,Why not?,Question
Quand,kɑ̃,when,C’est quand ?,When is it?,Question
Où,u,where,Tu vas où ?,Where are you going?,Question
Comment,kɔmɑ̃,how,Comment ça va ?,How’s it going?,Question
Quoi,kwa,what (informal),Tu dis quoi ?,What are you saying?,Question
Qui,ki,who,Qui est-ce ?,Who is it?,Question
Parce que,paʁs kə,because,Je pars parce que je suis fatigué.,I’m leaving because I’m tired.,Connector
Très,tʁɛ,very,C’est très bon.,It’s very good.,Modifier
Un peu,œ̃ pø,a little,Je parle un peu.,I speak a little.,Modifier
Plus,ply,more,Je veux plus d’eau.,I want more water.,Modifier
Moins,mwɛ̃,less,"Moins de sucre, s’il vous plaît.","Less sugar, please.",Modifier
Bon marché,bɔ̃ maʁʃe,cheap; inexpensive,C’est bon marché.,It’s cheap.,Shopping
Cher,ʃɛʁ,expensive; dear,C’est trop cher.,It’s too expensive.,Shopping
Chaud,ʃo,hot,C’est trop chaud.,It’s too hot.,Adjective
Froid,fʁwa,cold,Il fait froid.,It’s cold.,Adjective
Grand,ɡʁɑ̃,big; tall,"Un grand café, s’il vous plaît.","A large coffee, please.",Adjective
Petit,pəti,small; little,Une petite portion.,A small portion.,Adjective
Nouveau,nuvo,new,Un nouveau téléphone.,A new phone.,Adjective
Vieux,vjø,old,Un vieux quartier.,An old neighborhood.,Adjective
Bon,bɔ̃,good,C’est bon.,It’s good.,Adjective
Mauvais,movɛ,bad,C’est un mauvais plan.,It’s a bad plan.,Adjective
Facile,fasil,easy,C’est facile à comprendre.,It’s easy to understand.,Adjective
Difficile,difisil,difficult,C’est difficile pour moi.,It’s difficult for me.,Adjective
